0,记录会议纪要
0,测试会议通知
0,集中学习党的知识
0,党委会
0,支委会
0,支委会（先发通知）
0,支委会（先发通知2）
0,1111
0,2222
0,333
0,111
0,222
1,通报11月份重点工作完成情况；2.各支部工作的分工；3.传达大干六十天 决胜目标建新功的文件精神。
1,党支部书记上党课，学习《中国共产党支部工作条例》；2.学习四个一微党课《使命呼唤担当，绿色引领未来》；3.进行年度先进党务工作者和先进党小组长的选举活动。
1,月度重点工作回顾和分工；2.优秀党员的评选方案商讨；3.关于全力大干六十天决胜目标建新功的活动开展的讨论；4.会议的决议
1,优秀党员评选文件的宣读；2.年度大干六十天的冲刺精神宣贯；3.优秀党员的评选和党员的发言表态。
1,优秀党员评选文件的宣读；2.年度大干六十天的冲刺精神宣贯；3.优秀党员的评选和党员的发言表态。
1,优秀党员评选文件的宣读；2.年度大干六十天的冲刺精神宣贯；3.优秀党员的评选和党员的发言表态。
0,学习习近平书记讲话
0,3333
1,通过学习黄群等4名同志先进事迹，认真学习黄群等同志面对台风和巨浪，挺身而出、英勇无畏，为保护国家重点试验平台壮烈牺牲，用事迹行动诠释了共产党员对党忠诚、恪尽职守、不怕牺牲的优秀品格，用宝贵生命践行了共产党员“随时为党和人民牺牲一切”的初心和誓言，他们是共产党员的优秀代表、时代楷模。
1,深入学习贯彻习近平新时代中国特色社会主义思想和党的十九大精神与黄群等4名同志先进事迹结合起来，不断增强“四个意识”，坚定“四个自信”，努力争做新时代合格党员。
1,即党组织管理制度；思想政治工作制度；党建带工建、带团建工作制度；党支部管理制度；基层党组织换届选举工作制度；党建工作年度目标责任考核实施办法（试行）；党委班子成员改进工作作风联系基层工作办法；党员管理制度；党员发展、教育制度；党费收缴、使用和管理办法；党委理论学习中心组学习制度.；党建工作责任制实施办法；党委意识形态工作责任制实施办法。
1,会议议题：学习优秀共产党员郭强同志事迹
1,全体党员认真学习郭强同志的事迹。郭强同志出生于1973年，先后担任产品试验中心室主任、外派干部兼试验中心副主任、产品试验中心副主任等职。从事变压器产品试验二十多年来，他始终以企业大局为重，从不计较个人得失，用人格魅力昭示着生命大美，集中体现了几代西变人的优秀品质。他把忠诚担当、甘于奉献的共产党人精神永远留在职工群众心中，他用逐梦的一生、拼搏的一生、奉献的一生彰显了共产党员的崇高精神和人格力量。
1,对党建制度40文化管理（1项）中XD-ZL40-101-V1-2018企业文化管理制度进行解读，并对重点内容进行学习。
1,习党建制度41宣传管理（2项）中XD-YW41-101-V1-2018新闻宣传管理制度
1,和XD-ZN41-X01-V1-2018新媒体管理办法进行解读，
1,并对重点内容进行强调，无法参会学习的进行微信、邮件等方式进行学习，落实到每一位党员。
0,做好第四季度党员承诺自查自评。
0,做好宣传稿件和读书心得的上报工作。
0,按时收缴12月份党费。
1,学习宣传贯彻习近平新时代中国特色社会主义思想，学习宣传纪实文学《梁家河》。继续开展党建理论大学习大研讨活动，根据党（通）-2018-49的要求，组织党员开展党建工作各项制度的学习。
1,组织小组成员学习黄群、宋月才、姜开斌同志“中央企业优秀共产党员”的先进事迹。黄群、宋月才、姜开斌同志3名同志冒着生命危险，对试验平台进行加固作业。作业过程中，黄群、宋月才、姜开斌同志被卷入海中，英勇牺牲。大家对三名党员同志的牺牲深表惋惜，对他们对党忠诚、恪尽职守、不怕牺牲的优秀品格深表敬佩，纷纷表示要向这三名同志学习，做合格的、优秀的共产党员。
1,做好宣传稿件和读书心得的上报工作。本月需上交的为“梁家河读书心得”和党建理论研究论文。
0,按时收缴10月份党费。
0,学习10月计划重点学习党建工作（13项）：
1,即党组织管理制度；思想政治工作制度；党建带工建、带团建工作制度；党支部管理制度；基层党组织换届选举工作制度；党建工作年度目标责任考核实施办法（试行）；党委班子成员改进工作作风联系基层工作办法；党员管理制度；党员发展、教育制度；党费收缴、使用和管理办法；党委理论学习中心组学习制度.；党建工作责任制实施办法；党委意识形态工作责任制实施办法。
1,学习党建制度40文化管理（1项）中XD-ZL40-101-V1-2018企业文化管理制度进行解读，并对重点内容进行强调，无法参会学习的进行微信、邮件等方式进行学习，落实到每一位党员。
1,根据公司党委 《西变党发〔2018〕97号：关于开展“全力大干六十天 决胜目标建新功”党员劳动竞赛的通知》，组织劳动竞赛项目的上报和实施。
1,学习优秀共产党员郭强同志先进事迹。
1,开展“习近平新时代中国特色社会主义思想三十讲党员答题活动”。
1,做好宣传稿件和读书心得的上报工作。本月17号组织到铜川照金进行参观，上报心得四篇。
1,我司组织开展了改革开放“40年40企40人”网络投票、集团第二届最美劳动者评选投票，组织广大职工为变压器研发中心主任宓传龙、冷作车间员工王战略进行了网络投票。并进行投票统计
1,按时收缴11月份党费。
1,即党组织管理制度；思想政治工作制度；党建带工建、带团建工作制度；党支部管理制度；基层党组织换届选举工作制度；党建工作年度目标责任考核实施办法（试行）；党委班子成员改进工作作风联系基层工作办法；党员管理制度；党员发展、教育制度；党费收缴、使用和管理办法；党委理论学习中心组学习制度.；党建工作责任制实施办法；党委意识形态工作责任制实施办法。
1,学习党建制度40文化管理（1项）中XD-ZL40-101-V1-2018企业文化管理制度进行解读，并对重点内容进行强调，无法参会学习的进行微信、邮件等方式进行学习，落实到每一位党员。
1,上个月月底公司党委追授郭强同志“优秀共产党员”称号，会上各位与郭强同志有接触的党员，也都对郭强同志的生前事迹进行了缅怀，大家激烈讨论，一致认为郭强同志敢于担当，干事创业，锐意进取的精神值得大家学习。
1,安排党员同志参加照金革命根据地学习事宜，对出行事宜进行了具体安排，务必保证人身安全。
1,公司党委开展“全力大干60天  决胜目标建新功”党员劳动竞赛活动，确保全面完成年度目标任务，为决胜2020打下坚实的基础。
1,继续做好《梁家河》书籍的读书宣传活动，号召小组党员认真学习党建理论知识。鼓励党员同志书写《梁家河》读后感。
